id,xVal,yVal,address,    city,  bedrooms,bathrooms,price
1,5.10,0.10,1463 Acorn,Hampton,3.00,2.00,215800.00
2,12.07,1.40,2214 Almond,Hampton,2.00,1.00,235200.00
3,14.35,1.90,2185 Second,Hampton,2.00,1.50,105780.00
4,4.10,4.10,2147 Ash,Hampton,4.00,2.50,374867.00
5,6.20,3.70,2628 Apricot,Hampton,3.00,2.00,195600.00
6,12.10,3.30,2360 12th,Hampton,5.00,3.00,530790.00
7,14.22,3.10,2340 14th,Hampton,4.00,3.00,280800.00
8,9.00,4.90,2825 Beachwood,Hampton,3.00,1.00,295900.00
9,18.85,5.90,3838 Sarron,Hampton,4.00,2.50,385450.00
10,22.05,4.23,4425 22nd,Hampton,3.00,2.00,195450.00
11,26.10,5.00,4302 26th,Hampton,2.00,1.00,115980.00
12,28.85,5.95,4880 Sarron,Hampton,4.00,3.00,245674.00
13,32.20,5.40,2489 32nd,Hampton,4.00,3.50,265980.00
14,34.20,4.80,2288 34th,Hampton,5.00,3.50,350800.00
15,1.80,7.10,2705 Second,Hampton,4.00,3.00,245890.00
16,3.10,6.10,2305 Sarron,Hampton,5.00,3.00,516785.00
17,9.80,11.85,3165 Eighth,Hampton,6.00,3.50,710890.00
18,11.90,11.90,3170 Twelfth,Hampton,4.00,3.00,458980.00
19,15.20,13.80,3522 Washington,Hampton,3.00,2.00,260698.00
20,15.90,7.50,3794 16th,Hampton,4.00,3.00,396887.00
21,17.20,8.60,3717 Berry,Hampton,3.00,2.50,205879.00
22,19.70,7.20,2722 20th,Hampton,4.00,3.00,342787.00
23,21.30,7.25,4135 Berry,Hampton,4.00,2.00,323470.00
24,19.10,11.95,3910 Cyprus,Hampton,3.00,2.00,195000.00
25,24.60,10.70,4463 Chestnut,Hampton,4.00,2.00,321459.00
26,26.70,10.95,4675 Chestnut,Hampton,5.00,3.00,467450.00
27,28.40,9.90,2987 29th,Hampton,4.00,2.00,345980.00
28,31.70,7.90,5178 Briarwood,Hampton,4.00,2.50,295458.00
29,32.45,9.90,5238 Cedar,Hampton,3.00,2.00,125879.00
30,31.80,11.70,3158 32nd,Hampton,4.00,2.50,225674.00
31,33.85,13.10,3378 Ebony,Hampton,2.00,1.50,98980.00
32,7.20,15.90,2726 Greenwood,Waco,3.00,2.00,178980.00
33,6.20,17.15,3714 Sixth,Waco,4.00,3.00,295760.00
34,1.80,21.05,2187 Olive,Waco,5.00,3.00,398600.00
35,6.90,21.80,4178 Seventh,Waco,4.00,2.50,285880.00
36,9.20,16.85,2928 Hickory,Waco,3.00,2.00,235670.00
37,11.20,19.65,2972 Eleventh,Waco,5.00,3.00,375680.00
38,4.20,23.80,2418 Pine,Waco,4.00,3.00,275890.00
39,8.80,23.80,2882 Pine,Waco,3.00,2.50,265900.00
40,4.20,27.70,4764 Fourth,Waco,4.00,2.00,286870.00
41,3.90,29.80,2384 Walnut,Waco,5.00,3.00,363980.00
42,5.50,28.90,2554 Thornwood,Waco,4.00,2.00,285800.00
43,9.80,29.60,4982 Tenth,Waco,5.00,3.00,354900.00
44,9.90,27.30,4728 Tenth,Waco,2.00,1.00,95680.00
45,12.10,27.10,4715 Twelfth,Waco,4.00,2.00,225670.00
46,12.30,24.85,3128 Rosewood,Waco,3.00,2.50,245500.00
47,18.30,23.60,3825 Pine,Waco,4.00,3.00,256870.00
48,19.80,19.50,3958 20th,Waco,5.00,4.00,395600.00
49,21.10,16.90,3687 21st,Waco,4.00,3.00,249890.00
50,22.10,15.80,3575 22nd,Waco,5.00,4.00,345789.00
51,23.10,16.30,4321 Hickory,Waco,3.00,2.00,219800.00
52,23.10,18.20,4323 Maple,Waco,4.00,2.00,2.00,209891.00
53,30.10,14.80,5012 Fir,Waco,3.00,2.00,189980.00
54,28.70,18.90,4865 Holly,Waco,4.00,3.00,195000.00
55,30.40,19.80,5038 Oak,Waco,2.00,1.00,85980.00
56,33.10,15.90,5312 Greenwood,Waco,3.00,6.00,169900.00
57,32.10,18.20,3831 33rd,Waco,4.00,3.00,205698.00
58,31.90,22.10,5187 Oak,Waco,5.00,3.50,289900.00
