xVal,yVal,isStartPoint
14.50,0.00,1
14.00,0.40,0
13.50,0.70,0
13.00,0.90,0
12.50,0.90,0
12.00,1.40,0
11.50,1.70,0
11.00,2.10,0
10.50,2.60,0
10.00,3.10,0
9.50,3.60,0
9.00,4.40,0
8.50,4.90,0
8.00,5.00,0
7.50,5.40,0
7.00,6.00,0
6.50,8.00,0
6.00,8.50,0
5.50,9.50,0
5.00,9.90,0
5.50,10.50,0
6.00,11.70,0
6.50,12.50,0
7.00,13.00,0
7.50,12.80,0
8.00,12.30,0
8.50,11.60,0
9.00,11.40,0
9.50,11.00,0
10.00,10.50,0
10.50,10.10,0
11.00,9.80,0
11.50,9.50,0
12.00,9.30,0
12.50,9.40,0
13.00,10.10,0
13.50,10.60,0
14.00,11.00,0
14.80,11.50,0
15.10,12.00,0
15.70,12.50,0
16.10,13.00,0
16.50,13.50,0
16.80,14.00,0
16.90,14.50,0
17.00,15.00,0
16.80,15.50,0
16.60,16.00,0
16.60,16.50,0
16.70,17.00,0
16.90,17.50,0
16.90,18.00,0
17.10,18.50,0
17.40,19.00,0
17.80,19.50,0
18.30,20.00,0
18.70,20.50,0
19.20,21.00,0
19.40,21.50,0
19.60,22.00,0
19.70,22.50,0
19.70,23.50,0
19.70,24.00,0
19.60,24.50,0
19.50,25.00,0
19.10,25.50,0
18.50,26.00,0
17.80,26.50,0
17.00,26.90,0
16.50,27.40,0
16.00,27.70,0
15.50,28.00,0
14.80,28.50,0
14.50,29.00,0
14.10,29.50,0
13.70,30.00,0
0.00,4.00,1
0.50,4.20,0
1.00,4.50,0
1.50,5.00,0
2.00,5.10,0
2.50,5.10,0
3.00,4.80,0
3.50,4.60,0
4.00,4.50,0
4.50,4.60,0
5.00,4.90,0
5.50,5.30,0
6.00,5.70,0
6.50,5.90,0
7.00,5.60,0
7.50,5.40,0
